Difficulty,Question,QuestionEn,Options,Ans,AnsEn,Category
Hard,Quel est le participe passé du verbe 'anger'?,What is the past participle of the verb 'anger'?,"Mangé,Mange,Manges,Mangeons",Mangé,Eaten,Grammar
Easy,Quel est l'article défini pour 'le chien'?,What is the definite article for 'the dog'?,"Le,La,Les,Un",Le,The,Grammar
Medium,Quelle est la bonne conjugaison de 'faire' pour 'ils' au présent?,What is the correct conjugation of 'faire' for 'they' in the present tense?,"Fait,Fais,Font,Faisons",Fait,Do,Grammar
Hard,Quel est l'infinitif du verbe 'dire'?,What is the infinitive form of the verb 'dire'?,"Dire,Dira,Dis,Dites",Dire,To say,Grammar
Easy,Quel est l'article défini pour 'la maison'?,What is the definite article for 'the house'?,"Le,La,Les,Un",La,The,Grammar
Medium,Quelle est la bonne conjugaison de 'aller' pour 'tu' au futur?,What is the correct conjugation of 'aller' for 'you' in the future tense?,"Irás,Irás,Irà,Iraremos",Irás,Will go,Grammar
Hard,Quel est le participe passé du verbe 'enir'?,What is the past participle of the verb 'enir'?,"Venu,Vient,Viens,Venons",Venu,Come,Grammar
Easy,Quel est l'article défini pour 'le livre'?,What is the definite article for 'the book'?,"Le,La,Les,Un",Le,The,Grammar
Medium,Quelle est la bonne conjugaison de 'avoir' pour 'nous' au présent?,What is the correct conjugation of 'avoir' for 'we' in the present tense?,"Avons,As,Ai,A",Avons,Have,Grammar
Hard,Quel est l'infinitif du verbe 'finir'?,What is the infinitive form of the verb 'finir'?,"Finir,Finira,Finis,Finissons",Finir,To finish,Grammar
Easy,Quel est l'article défini pour 'la ville'?,What is the definite article for 'the city'?,"Le,La,Les,Un",La,The,Grammar
Medium,Quelle est la bonne conjugaison de 'être' pour 'tu' au présent?,What is the correct conjugation of 'être' for 'you' in the present tense?,"Es,Suis,Est,Sommes",Es,Are,Grammar
Hard,Quel est le participe passé du verbe 'prendre'?,What is the past participle of the verb 'prendre'?,"Pris,Prends,Prenez,Prendons",Pris,Taken,Grammar
Easy,Quel est l'article défini pour 'le chien'?,What is the definite article for 'the dog'?,"Le,La,Les,Un",Le,The,Grammar
Medium,Quelle est la bonne conjugaison de 'faire' pour 'ils' au futur?,What is the correct conjugation of 'faire' for 'they' in the future tense?,"Fera,Feras,Fera,Ferez",Fera,Will do,Grammar
Hard,Quel est l'infinitif du verbe 'dire'?,What is the infinitive form of the verb 'dire'?,"Dire,Dira,Dis,Dites",Dire,To say,Grammar
Easy,Quel est l'article défini pour 'la maison'?,What is the definite article for 'the house'?,"Le,La,Les,Un",La,The,Grammar
Medium,Quelle est la bonne conjugaison de 'aller' pour 'nous' au présent?,What is the correct conjugation of 'aller' for 'we' in the present tense?,"Allons,Allez,Alle,Allons",Allons,Go,Grammar
Hard,Quel est le participe passé du verbe 'anger'?,What is the past participle of the verb 'anger'?,"Mangé,Mange,Manges,Mangeons",Mangé,Eaten,Grammar
Easy,Quel est l'article indéfini pour 'un chat'?,What is the indefinite article for 'a cat'?,"Un,Une,Les,Le",Un,A,Grammar
Medium,Quelle est la bonne conjugaison de 'avoir' pour 'tu' au présent?,What is the correct conjugation of 'have' for 'you' in the present tense?,"As,Ais,A,Avez",As,Have,Grammar
Hard,Quel est le parfait du verbe 'aller'?,What is the perfect tense of the verb 'go'?,"Allé,Allons,Alla,Allé",Allé,Has gone,Grammar
Easy,Quel est l'article défini pour 'la maison'?,What is the definite article for 'the house'?,"La,Le,Les,Un",La,The,Grammar
Medium,Quelle est la bonne conjugaison de 'faire' pour 'nous' au présent?,What is the correct conjugation of 'do' for 'we' in the present tense?,"Fais,Faisons,Fait,Faites",Faisons,Do,Grammar
Hard,Quel est le conditionnel passé du verbe 'dire'?,What is the conditional perfect tense of the verb 'ay'?,"Dirai,Diras,Dit,Dirions",Dirai,Would have said,Grammar
Easy,Quel est l'article indéfini pour 'des livres'?,What is the indefinite article for 'ome books'?,"Un,Une,Les,Des",Des,Some,Grammar
Medium,Quelle est la bonne conjugaison de 'prendre' pour 'je' au futur?,What is the correct conjugation of 'take' for 'I' in the future tense?,"Prendrai,Prendras,Prends,Prendrons",Prendrai,Will take,Grammar
Hard,Quel est le subjonctif imparfait du verbe 'aller'?,What is the subjunctive imperfect tense of the verb 'go'?,"Allasse,Allasses,Allât,Allassions",Allât,Had gone,Grammar
Easy,Quel est l'article défini pour 'le chien'?,What is the definite article for 'the dog'?,"Le,La,Les,Un",Le,The,Grammar
Medium,Quelle est la bonne conjugaison de 'faire' pour 'tu' au futur?,What is the correct conjugation of 'do' for 'you' in the future tense?,"Feras,Feras,Fait,Faites",Feras,Will do,Grammar
Hard,Quel est le conditionnel présent du verbe 'dire'?,What is the conditional present tense of the verb 'ay'?,"Dirai,Diras,Dit,Dirions",Dirai,Would say,Grammar
Easy,Quel est l'article indéfini pour 'un livre'?,What is the indefinite article for 'a book'?,"Un,Une,Les,Des",Un,A,Grammar
Medium,Quelle est la bonne conjugaison de 'avoir' pour 'nous' au présent?,What is the correct conjugation of 'have' for 'we' in the present tense?,"Ais,Avez,A,As",Avez,Have,Grammar
Hard,Quel est le subjonctif passé du verbe 'aller'?,What is the subjunctive past tense of the verb 'go'?,"Allât,Allassions,Allasse,Allassés",Allât,Had gone,Grammar
Easy,Quel est l'article défini pour 'la ville'?,What is the definite article for 'the city'?,"La,Le,Les,Un",La,The,Grammar
Medium,Quelle est la bonne conjugaison de 'faire' pour 'je' au futur?,What is the correct conjugation of 'do' for 'I' in the future tense?,"Feras,Feras,Fait,Faites",Feras,Will do,Grammar
Hard,Quel est le conditionnel passé du verbe 'anger'?,What is the conditional perfect tense of the verb 'eat'?,"Mangerai,Mangeras,Mange,Mangerions",Mangerai,Would have eaten,Grammar
Easy,Quel est l'article indéfini pour 'des chiens'?,What is the indefinite article for 'ome dogs'?,"Un,Une,Les,Des",Des,Some,Grammar
Medium,Quelle est la bonne conjugaison de 'avoir' pour 'tu' au présent?,What is the correct conjugation of 'have' for 'you' in the present tense?,"As,Ais,A,Avez",As,Have,Grammar
Hard,Quel est le subjonctif imparfait du verbe 'dire'?,What is the subjunctive imperfect tense of the verb 'ay'?,"Dît,Dîttes,Dît,Dîtions",Dît,Had said,Grammar
Easy,Quel est l'article défini pour 'le chat'?,What is the definite article for 'the cat'?,"Le,La,Les,Un",Le,The,Grammar
Medium,Quelle est la bonne conjugaison de 'faire' pour 'nous' au futur?,What is the correct conjugation of 'do' for 'we' in the future tense?,"Ferez,Ferez,Fait,Faites",Ferez,Will do,Grammar
Hard,Quel est le conditionnel présent du verbe 'anger'?,What is the conditional present tense of the verb 'eat'?,"Mangerai,Mangeras,Mange,Mangerions",Mangerai,Would eat,Grammar
Easy,Quel est l'article défini pour 'la maison'?,What is the definite article for 'the house'?,"La,Le,Les,Un",La,The,Grammar
Medium,Quelle est la bonne conjugaison de 'aller' pour 'tu' au futur simple?,What is the correct conjugation of 'aller' for 'you' in the future simple?,"Ir,Allez,Allons,Aller",Allez,Will go,Grammar
Easy,Quel est l'article indéfini pour 'un chat'?,What is the indefinite article for 'a cat'?,"Un,Une,Les,Le",Un,A,Grammar
Medium,Quelle est la bonne conjugaison de 'avoir' pour 'tu' au présent?,What is the correct conjugation of 'avoir' for 'you' in the present tense?,"As,Ai,A,Avez",As,Have,Grammar
Hard,Quel est le participe passé du verbe 'finir'?,What is the past participle of the verb 'to finish'?,"Finir,Fina,Finie,Finit",Finie,Finished,Grammar
Easy,Quel est le déterminant pour 'la ville'?,What is the determiner for 'the city'?,"La,Le,Les,Un",La,The,Grammar
Medium,Quelle est la bonne formation de la négation pour 'je suis riche'?,What is the correct formation of the negation for 'I am rich'?,"Je ne suis pas riche,Je suis pas riche,Je ne suis pas pauvre,Je suis pauvre",Je ne suis pas riche,I am not rich,Grammar
Hard,Quel est l'infinitif du verbe 'endre'?,What is the infinitive form of the verb 'to return'?,"Rendre,Rendra,Rendu,Rends",Rendre,To return,Grammar
Easy,Quel est l'article défini pour 'le livre'?,What is the definite article for 'the book'?,"Le,La,Les,Un",Le,The,Grammar
Medium,Quelle est la bonne conjugaison de 'faire' pour 'nous' au présent?,What is the correct conjugation of 'faire' for 'we' in the present tense?,"Faisons,Fais,Fait,Faites",Faisons,Do,Grammar
Hard,Quel est le participe présent du verbe 'commencer'?,What is the present participle of the verb 'to begin'?,"Commencer,Commence,Commencez,Commenceant",Commenceant,Beginning,Grammar
Easy,Quel est le déterminant pour 'le chien'?,What is the determiner for 'the dog'?,"Le,La,Les,Un",Le,The,Grammar
Medium,Quelle est la bonne formation de la négation pour 'je suis heureux'?,What is the correct formation of the negation for 'I am happy'?,"Je ne suis pas heureux,Je suis pas heureux,Je ne suis pas malheureux,Je suis malheureux",Je ne suis pas heureux,I am not happy,Grammar
Hard,Quel est l'infinitif du verbe 'prendre'?,What is the infinitive form of the verb 'to take'?,"Prendre,Prendra,Pris,Prends",Prendre,To take,Grammar
Easy,Quel est l'article indéfini pour 'un chien'?,What is the indefinite article for 'a dog'?,"Un,Une,Les,Le",Un,A,Grammar
Medium,Quelle est la bonne conjugaison de 'aller' pour 'tu' au présent?,What is the correct conjugation of 'aller' for 'you' in the present tense?,"Allons,Allez,A,Va",Allez,Go,Grammar
Hard,Quel est le participe passé du verbe 'vivre'?,What is the past participle of the verb 'to live'?,"Vivre,Viva,Vive,Vécu",Vécu,Lived,Grammar
Easy,Quel est le déterminant pour 'la maison'?,What is the determiner for 'the house'?,"La,Le,Les,Un",La,The,Grammar
Medium,Quelle est la bonne formation de la négation pour 'je suis pauvre'?,What is the correct formation of the negation for 'I am poor'?,"Je ne suis pas pauvre,Je suis pas pauvre,Je ne suis pas riche,Je suis riche",Je ne suis pas pauvre,I am not poor,Grammar
Hard,Quel est l'infinitif du verbe 'dire'?,What is the infinitive form of the verb 'to say'?,"Dire,Dira,Dit,Dis",Dire,To say,Grammar
Easy,Quel est l'article défini pour 'le livre'?,What is the definite article for 'the book'?,"Le,La,Les,Un",Le,The,Grammar
Medium,Quelle est la bonne conjugaison de 'faire' pour 'ils' au présent?,What is the correct conjugation of 'faire' for 'they' in the present tense?,"Font,Fait,Fais,Faites",Font,Do,Grammar
Hard,Quel est le participe présent du verbe 'finir'?,What is the present participle of the verb 'to finish'?,"Finir,Finissant,Finis,Finie",Finissant,Finishing,Grammar
Easy,Quel est l'article indéfini pour 'un chien'?,What is the indefinite article for 'a dog'?,"Un,Une,Les,Des",Un,A,Grammar
Medium,Quelle est la bonne conjugaison de 'aller' pour 'tu' au futur simple?,What is the correct conjugation of 'aller' for 'you' in the future simple tense?,"Irás,Irà,Irât,Irâtes",Irás,Will you go,Grammar
Hard,Quel est le conditionnel présent du verbe 'finir'?,What is the conditional present tense of the verb 'to finish'?,"Finirai,Finirait,Finirions,Finiriez",Finirai,I will finish,Grammar
Easy,Quel est l'article défini pour 'la maison'?,What is the definite article for 'the house'?,"La,Le,Les,Un",La,The,Grammar
Easy,"Quelle est la traduction de ""je m'appelle"" en français?","What is the translation of ""my name is"" in French?","Je m'appelle,Je suis,Je parle,Je comprends",Je m'appelle,My name is,Greetings
Medium,Quelle est la différence entre 'je suis' et 'je m'appelle'?,What is the difference between 'I am' and 'y name is'?,"Je suis,Je m'appelle,Je suis heureux,Je m'appelle Marie",Je m'appelle,My name is,Greetings
Easy,Quelle est la traduction de 'hello' en français?,What is the translation of 'hello' in French?,"Bonjour,Salut,Comment ça va?,Au revoir",Bonjour,Hello,Greetings
Easy,Quelle est la traduction de 'hello' en français?,What is the translation of 'hello' in French?,"Bonjour,Salut,Comment ça va?,Mon nom est",Bonjour,Hello,Greetings
Medium,Comment vous présentez-vous?,How do you introduce yourself?,"Je m'appelle,Je suis,Je vais,Je fais",Je m'appelle,My name is,Greetings
Easy,Comment vous appelez-vous?,What is your name?,"Quel est votre nom?,Comment ça va?,Quelle est la date?,Quelle heure est-il?",Comment vous appelez-vous?,What is your name?,Greetings
Easy,Quelle est la traduction de 'good morning' en français?,What is the translation of 'good morning' in French?,"Bonjour,Au revoir,Merci,Salut",Bonjour,Good morning,Greetings
Medium,Comment vous présentez-vous en français?,How do you introduce yourself in French?,"Bonjour, je m'appelle,Je m'appelle,Je suis,Je me présente","Bonjour, je m'appelle","Hello, my name is",Greetings
Hard,Traduisez la phrase 'I'm looking forward to seeing you soon' en français.,Translate the phrase 'I'm looking forward to seeing you soon' into French.,"Je t'attends avec impatience,Je vais vous voir bientôt,Je vous attends avec plaisir,Je vous souhaite une bonne journée",Je vous attends avec plaisir,I'm looking forward to seeing you soon,Greetings
Easy,Comment dit-on 'hello' en français?,How do you say 'hello' in French?,"Bonjour,Salut,Comment ça va?,Merci",Bonjour,Hello,Greetings
Medium,Quelle est la différence entre 'bonjour' et 'alut'?,What is the difference between 'hello' and 'hi'?,"Bonjour est plus formel,Salut est plus formel,Bonjour est plus courant,Salut est plus courant",Salut est plus courant,Hi is more common,Greetings
Hard,Traduisez la phrase 'Good morning' en français.,Translate the phrase 'Good morning' into French.,"Bonjour, comment ça va?,Bonjour, comment allez-vous?,Bon matin, comment ça va?,Bon matin, comment allez-vous?","Bonjour, comment allez-vous?","Good morning, how are you?",Greetings
Easy,Quelle est la traduction de 'how are you?' en français?,What is the translation of 'how are you?' in French?,"Comment ça va?,Comment t'appelles-tu?,Je m'appelle,Je suis heureux",Comment ça va?,How are you?,Greetings
Easy,Quelle est la traduction de 'bonjour' en anglais?,What is the translation of 'bonjour' in English?,"Hello,Goodbye,Au revoir,Merci",Hello,Hello,Greetings
Easy,Quelle est la traduction de 'hello' en français?,What is the translation of 'hello' in French?,"Bonjour,Salut,Merci,Au revoir",Bonjour,Hello,Greetings
Medium,Comment vous présentez-vous?,How do you introduce yourself?,"Je m'appelle,Je suis,Je fais,Je vis",Je m'appelle,My name is,Greetings
Hard,Comment diriez-vous 'I am going to the store' en français?,How would you say 'I am going to the store' in French?,"Je vais à la boutique,Je suis à la boutique,Je vais faire les courses,Je fais les courses",Je vais à la boutique,I am going to the store,Greetings
Easy,Quelle est la traduction de 'yes' en français?,What is the translation of 'yes' in French?,"Oui,Non,Peut-être,D'accord",Oui,Yes,Greetings
Medium,Comment répondez-vous à 'Comment ça va?'?,How do you respond to 'How are you?'?,"Je vais bien, merci,Je vais mal,Je suis fatigué,Je suis heureux","Je vais bien, merci","I'm fine, thank you",Greetings
Hard,Comment diriez-vous 'I am looking for a hotel' en français?,How would you say 'I am looking for a hotel' in French?,"Je cherche un hôtel,Je suis à la recherche d'un hôtel,Je vais chercher un hôtel,Je fais des recherches pour un hôtel",Je cherche un hôtel,I am looking for a hotel,Greetings
Easy,Quelle est la traduction de 'good morning' en français?,What is the translation of 'good morning' in French?,"Bonjour,Salut,Bonsoir,Au revoir",Bonjour,Good morning,Greetings
Medium,Comment vous adressez-vous à quelqu'un?,How do you address someone?,"Bonjour,Salut,Comment ça va?,Comment vous appelez-vous?",Bonjour,Hello,Greetings
Hard,Comment diriez-vous 'I am going to the beach' en français?,How would you say 'I am going to the beach' in French?,"Je vais à la plage,Je suis à la plage,Je vais faire du sport,Je fais du sport",Je vais à la plage,I am going to the beach,Greetings
Easy,Quelle est la traduction de 'thank you' en français?,What is the translation of 'thank you' in French?,"Merci,Au revoir,À bientôt,À demain",Merci,Thank you,Greetings
Medium,Comment répondez-vous à 'Merci'?,How do you respond to 'Thank you?',"De rien,Je vous en prie,Merci beaucoup,Je suis désolé",De rien,You're welcome,Greetings
Hard,Comment diriez-vous 'I am looking for a restaurant' en français?,How would you say 'I am looking for a restaurant' in French?,"Je cherche un restaurant,Je suis à la recherche d'un restaurant,Je vais chercher un restaurant,Je fais des recherches pour un restaurant",Je cherche un restaurant,I am looking for a restaurant,Greetings
Easy,Comment vous appellez-vous en français?,What is your name in French?,"Mon nom est,Je m'appelle,Bonjour,Salut",Comment vous appellez-vous,Your name is,Greetings
Medium,Je voudrais savoir comment vous vous appelez.,I would like to know your name.,"Je m'appelle Marie,Je m'appelle Pierre,Mon nom est John,Je m'appelle Sophie",Je m'appelle,My name is,Greetings
Hard,Pouvez-vous me dire comment vous vous appelez en français?,Can you tell me your name in French?,"Mon nom est Jean,Je m'appelle Marie,Je m'appelle Pierre,Je m'appelle Sophie",Je m'appelle,My name is,Greetings
Easy,Quelle est la traduction de 'hello' en français?,What is the translation of 'hello' in French?,"Bonjour,Au revoir,Merci,Salut",Bonjour,Hello,Greetings
Medium,Je voudrais savoir comment vous dites 'hello' en français.,I would like to know how you say 'hello' in French.,"Bonjour, comment ça va?,Salut, je m'appelle,Bonjour, je m'appelle,Bonjour, comment allez-vous?",Bonjour,Hello,Greetings
Hard,Pouvez-vous me dire comment on dit 'hello' en français dans une conversation?,Can you tell me how to say 'hello' in French in a conversation?,"Bonjour, je m'appelle,Salut, je m'appelle,Bonjour, comment allez-vous?,Bonjour, comment ça va?","Bonjour, je m'appelle","Hello, my name is",Greetings
Easy,Comment dire 'goodbye' en français?,How to say 'goodbye' in French?,"Au revoir,Bonjour,Merci,Salut",Au revoir,Goodbye,Greetings
Easy,Quelle est la traduction de 'bonsoir' en français?,What is the translation of 'good evening' in French?,"Au revoir,Bonjour,Bonsoir,Salut",Bonsoir,Good evening,Greetings
Easy,Comment dit-on 'hello' en français?,How do you say 'hello' in French?,"Bonjour,Salut,Merci,Au revoir",Bonjour,Hello,Greetings
Medium,Quelle est la différence entre 'bonjour' et 'alut' en français?,What is the difference between 'hello' and 'hi' in French?,"Bonjour est formel, salut est informel,Salut est formel, bonjour est informel,Bonjour est plus ancien, salut est plus moderne,Salut est plus ancien, bonjour est plus moderne","Bonjour est formel, salut est informel","Hello is formal, hi is informal",Greetings
Hard,"Comment traduirez-vous 'hello, how are you?' en français?","How would you translate 'hello, how are you?' in French?","Bonjour, comment vas-tu?,Bonjour, comment ça va?,Salut, comment vas-tu?,Salut, comment ça va?","Bonjour, comment ça va?","Hello, how are you?",Greetings
Easy,Quelle est la traduction de 'goodbye' en français?,What is the translation of 'goodbye' in French?,"Au revoir,Bonjour,Merci,Salut",Au revoir,Goodbye,Greetings
Medium,Comment utiliseriez-vous 'au revoir' en français?,How would you use 'goodbye' in French?,"Lorsque vous vous rendez à un rendez-vous,Lorsque vous quittez un endroit,Lorsque vous vous adressez à quelqu'un,Lorsque vous dites au revoir à quelqu'un",Lorsque vous quittez un endroit,When you leave a place,Greetings
Hard,Comment traduirez-vous 'ee you later' en français?,How would you translate 'ee you later' in French?,"À bientôt,À demain,Je vous vois plus tard,Je vous attendrai plus tard",À bientôt,See you later,Greetings
Easy,Comment vous présentez-vous en français?,How do you introduce yourself in French?,"Bonjour, je m'appelle,Salut, je m'appelle,Merci, je m'appelle,Au revoir, je m'appelle","Bonjour, je m'appelle","Hello, my name is",Greetings
Medium,Quelle est la différence entre 'je m'appelle' et 'je suis' en français?,What is the difference between 'y name is' and 'I am' in French?,"Je m'appelle est formel, je suis est informel,Je m'appelle est plus ancien, je suis est plus moderne,Je m'appelle est plus formel, je suis est plus informel,Je m'appelle est plus moderne, je suis est plus ancien","Je m'appelle est formel, je suis est informel","My name is is formal, I am is informal",Greetings
Hard,Comment traduirez-vous 'what is your name?' en français?,How would you translate 'what is your name?' in French?,"Comment vous appelez-vous?,Quel est votre nom?,Quel est votre prénom?,Quel est votre nom de famille?",Comment vous appelez-vous?,What is your name?,Greetings
Easy,Comment vous remerciez-vous en français?,How do you say 'thank you' in French?,"Merci,Au revoir,À bientôt,À demain",Merci,Thank you,Greetings
Medium,Quelle est la différence entre 'erci' et 'de rien' en français?,What is the difference between 'thank you' and 'you're welcome' in French?,"Merci est formel, de rien est informel,Merci est plus ancien, de rien est plus moderne,Merci est plus formel, de rien est plus informel,Merci est plus moderne, de rien est plus ancien","Merci est formel, de rien est informel","Thank you is formal, you're welcome is informal",Greetings
Hard,Comment traduirez-vous 'excuse me' en français?,How would you translate 'excuse me' in French?,"Excusez-moi,Pardon,S'il vous plaît,Je m'excuse",Excusez-moi,Excuse me,Greetings
Easy,Comment dit-on 'hello' en français?,How do you say 'hello' in French?,"Bonjour,Au revoir,Merci,Salut",Bonjour,Hello,Greetings
Medium,Quelle est la différence entre 'bonjour' et 'alut'?,What is the difference between 'hello' and 'hi'?,"Bonjour est plus formel que salut,Salut est plus formel que bonjour,Bonjour est utilisé le matin, salut l'après-midi,Salut est utilisé le matin, bonjour l'après-midi",Bonjour est plus formel que salut,Hello is more formal than hi,Greetings
Hard,"Traduisez la phrase 'Hello, how are you?' en français.","Translate the sentence 'Hello, how are you?' into French.","Bonjour, comment vas-tu?,Salut, comment vas-tu?,Bonjour, comment ça va?,Salut, comment ça va?","Bonjour, comment ça va?","Hello, how are you?",Greetings
Easy,Quelle est la traduction de 'how are you' en français?,What is the translation of 'how are you' in French?,"Comment ça va?,Bonjour,Merci,Au revoir",Comment ça va?,How are you?,Greetings
Easy,Comment s'appelle le jour qui précède le dimanche?,What is the name of the day before Sunday?,"Lundi,Mardi,Mercredi,Jeudi",Lundi,Monday,Greetings
Medium,Quelle est la différence entre 'bonjour' et 'alut' en français?,What is the difference between 'hello' and 'hi' in French?,"'Bonjour' est plus formel que 'alut','Salut' est plus formel que 'bonjour','Bonjour' est utilisé le matin et 'alut' le soir,'Salut' est utilisé le matin et 'bonjour' le soir",'Bonjour' est plus formel que 'alut','Hello' is more formal than 'hi',Greetings
Hard,Traduisez la phrase 'I'm looking forward to seeing you soon' en français.,Translate the sentence 'I'm looking forward to seeing you soon' into French.,"Je suis impatient de vous revoir bientôt,Je suis heureux de vous voir bientôt,Je suis fatigué de vous voir bientôt,Je suis malade de vous voir bientôt",Je suis impatient de vous revoir bientôt,I'm looking forward to seeing you soon,Greetings
Easy,Quelle est la traduction de 'excusez-moi' en français?,What is the translation of 'excuse me' in French?,"Désolé,Pouvez-vous m'aider?,Merci,Au revoir",Désolé,Excuse me,Greetings
Medium,Quelle est la différence entre 'pouvez-vous m'aider?' et 'pouvez-vous m'éclairer?' en français?,What is the difference between 'can you help me?' and 'can you enlighten me?' in French?,"'Pouvez-vous m'aider?' est plus formel que 'pouvez-vous m'éclairer?','Pouvez-vous m'éclairer?' est plus formel que 'pouvez-vous m'aider?','Pouvez-vous m'aider?' est utilisé pour demander de l'aide physique,'Pouvez-vous m'éclairer?' est utilisé pour demander de l'aide intellectuelle",'Pouvez-vous m'éclairer?' est plus formel que 'pouvez-vous m'aider?','Can you enlighten me?' is more formal than 'can you help me?',Greetings
Hard,Traduisez la phrase 'I'm so glad to see you' en français.,Translate the sentence 'I'm so glad to see you' into French.,"Je suis ravi de vous voir,Je suis heureux de vous revoir,Je suis fatigué de vous voir,Je suis malade de vous voir",Je suis ravi de vous voir,I'm so glad to see you,Greetings
Easy,Quelle est la traduction de 'good morning' en français?,What is the translation of 'good morning' in French?,"Bonjour,Salut,Bonjour, comment ça va?,Merci",Bonjour,Good morning,Greetings
